id,ident,type,name,lat,long,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
342219,UA-0151,heliport,Demetrynskaya Street Helipad,44.5097,33.6069,305,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:11:28Z
342220,UA-0152,heliport,Orlinovsky Helipad,44.4207,33.6741,348,EU,Ukraine,UA,Sevastopol (city),UA-40,40,Sevastopol,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:13:37Z
320486,UA-0089,small_airport,Shevchenkove Airstrip,50.876703,29.071036,NA,EU,Ukraine,UA,Zhytomyr,UA-18,18,Shevchenkove,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T15:59:46Z
44429,UKCS,small_airport,Sievierodonetsk Airport,48.900926,38.54279,236,EU,Ukraine,UA,Luhansk,UA-09,09,Sievierodonetsk,0,UKCS,SEV,NA,NA,NA,"Severodonetsk Airport, Аеропорт Северодонецьк, Аэропорт Северодонецк",0,2021-03-10T13:38:32Z
44430,UKFW,small_airport,Zavodskoe Airfield,44.919998,34.063,955,EU,Ukraine,UA,Crimea,UA-43,43,Simferopol,0,URFW,NA,NA,http://unavia.narod.ru/engl/index.html,https://en.wikipedia.org/wiki/Zavodske_Airfield,"Zavodskoye Airfield, Аэродром Заводское",0,2020-09-26T05:05:08Z
342021,UA-0143,small_airport,Blagodatnoye Delta-Paradrome,47.9042,38.5194,575,EU,Ukraine,UA,Donetsk,UA-14,14,Siyatel',0,NA,NA,NA,NA,NA,NA,0,2021-03-10T13:48:23Z
44312,UA-0021,small_airport,Skadovsk Airport,46.131887999999996,32.902506,7,EU,Ukraine,UA,Kherson,UA-65,65,Skadovsk,0,NA,NA,NA,NA,NA,Аэродром Скадовск,0,2021-03-19T15:36:02Z
340327,UA-0132,closed,Slavne Airfield,45.731711,33.21123,7,EU,Ukraine,UA,Crimea,UA-43,43,Slavne,0,NA,NA,NA,NA,NA,Slavnoye,0,2021-03-19T15:37:35Z
320733,UA-0094,small_airport,Smodna Airfield,48.306675,25.14064,NA,EU,Ukraine,UA,Ivano-Frankivsk,UA-26,26,Smodna,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T16:03:19Z
44601,UA-0040,closed,Sovyetskiy Air Base,45.35499954223633,34.939998626708984,NA,EU,Ukraine,UA,Crimea,UA-43,43,Sovyetskiy,0,NA,NA,NA,NA,NA,"Sovetskiy Air Base, Sovyetsky Air Base, Sovietsky Air Base, Аэродром Советский",0,2009-07-21T18:22:07Z
44433,UKKT,closed,Svyatoshyn Airport,50.478224,30.384631,582,EU,Ukraine,UA,Kiev,UA-32,32,Svyatoshyn,0,UKKT,NA,NA,NA,NA,NA,0,2021-02-05T09:13:53Z
44377,UA-0029,medium_airport,Bolshoy Tokmak Air Base,47.285459,35.707855,NA,EU,Ukraine,UA,Zaporizhia,UA-23,23,Tokmak,0,NA,NA,NA,NA,NA,"Bolshoi Tokmak Air Base, Аэродром Большой Токмак",0,2021-03-12T11:52:22Z
321103,UA-0097,small_airport,Troits'ke Airstrip,47.6693733,30.2982862,NA,EU,Ukraine,UA,Odessa,UA-51,51,Troits'ke,0,NA,NA,NA,NA,NA,NA,0,2016-11-10T01:18:58Z
46367,UA-0069,closed,Uman Air Base,48.79403,30.208197,NA,EU,Ukraine,UA,Cherkasy,UA-71,71,Uman,0,UKKX,NA,NA,NA,NA,"Rodnikivka Airfield, Rodnikovka Airfield, Аеродром Умань, Аеродром Родникiвка, Аэродром Родниковка",0,2019-03-18T06:26:39Z
46267,UA-0059,small_airport,Valeryanivka Airfield,47.6288427809,37.399778366099994,NA,EU,Ukraine,UA,Donetsk,UA-14,14,Volnovakha,0,NA,NA,NA,http://sky.dn.ua/,NA,"Valeryanovka Airfield, Аеродром Валер'янівка, Аэродром Валерьяновка",0,2010-03-05T15:05:42Z
44295,UA-0011,closed,Karankut Air Base,45.577999,34.282001,52,EU,Ukraine,UA,Crimea,UA-43,43,Volnoye,0,NA,NA,NA,NA,NA,"Krasnogvardeyskoe Air Base, Krasnogvardeyskoye Air Base, Аэродром Каранкут, Аэродром Красногвардейское",0,2018-12-31T05:47:51Z
335516,UKGW,small_airport,Voroniv Airfield,50.695956,26.699958,722,EU,Ukraine,UA,Rivne,UA-19,19,Voroniv,0,UKGW,NA,NA,NA,NA,NA,0,2020-08-15T05:49:51Z
44625,UA-0042,small_airport,Voznesensk Air Base,47.5099983215332,31.2549991607666,NA,EU,Ukraine,UA,Mykolaiv,UA-48,48,Voznesensk,0,NA,NA,NA,NA,NA,Аэродром Вознесенск,0,2009-07-29T08:26:37Z
329476,UA-0124,heliport,Vychivka Helicopter Base,51.8205394,26.2873632,NA,EU,Ukraine,UA,Rivne,UA-19,19,Vychivka,0,NA,NA,NA,NA,NA,NA,0,2018-10-19T06:17:01Z
46272,UA-0064,heliport,Yalta Heliport,44.485596,34.13744,430,EU,Ukraine,UA,Crimea,UA-43,43,Yalta,0,NA,NA,NA,NA,NA,Вертодром Ялта,0,2021-03-19T16:32:28Z
